series_id,series_name,year,period,period_name,value,latest
CES6562310011,Avg Weekly Earnings,2024,M10,October,877.44,False
CES6562310011,Avg Weekly Earnings,2024,M09,September,867.1,False
CES6562310011,Avg Weekly Earnings,2024,M08,August,866.78,False
CES6562310011,Avg Weekly Earnings,2024,M07,July,869.49,False
CES6562310011,Avg Weekly Earnings,2024,M06,June,865.53,False
CES6562310011,Avg Weekly Earnings,2024,M05,May,862.6,False
CES6562310011,Avg Weekly Earnings,2024,M04,April,858.68,False
CES6562310011,Avg Weekly Earnings,2024,M03,March,857.38,False
CES6562310011,Avg Weekly Earnings,2024,M02,February,852.16,False
CES6562310011,Avg Weekly Earnings,2024,M01,January,849.56,False
CES6562310011,Avg Weekly Earnings,2023,M12,December,849.22,False
CES6562310011,Avg Weekly Earnings,2023,M11,November,850.83,False
CES6562310011,Avg Weekly Earnings,2023,M10,October,843.69,False
CES6562310011,Avg Weekly Earnings,2023,M09,September,840.43,False
CES6562310011,Avg Weekly Earnings,2023,M08,August,839.41,False
CES6562310011,Avg Weekly Earnings,2023,M07,July,838.15,False
CES6562310011,Avg Weekly Earnings,2023,M06,June,835.74,False
CES6562310011,Avg Weekly Earnings,2023,M05,May,834.34,False
CES6562310011,Avg Weekly Earnings,2023,M04,April,832.7,False
CES6562310011,Avg Weekly Earnings,2023,M03,March,829.41,False
CES6562310011,Avg Weekly Earnings,2023,M02,February,830.07,False
CES6562310011,Avg Weekly Earnings,2023,M01,January,827.11,False
CES6562310011,Avg Weekly Earnings,2022,M12,December,824.15,False
CES6562310011,Avg Weekly Earnings,2022,M11,November,820.53,False
CES6562310011,Avg Weekly Earnings,2022,M10,October,816.58,False
CES6562310011,Avg Weekly Earnings,2022,M09,September,816.42,False
CES6562310011,Avg Weekly Earnings,2022,M08,August,816.58,False
CES6562310011,Avg Weekly Earnings,2022,M07,July,815.43,False
CES6562310011,Avg Weekly Earnings,2022,M06,June,812.07,False
CES6562310011,Avg Weekly Earnings,2022,M05,May,805.65,False
CES6562310011,Avg Weekly Earnings,2022,M04,April,805.43,False
CES6562310011,Avg Weekly Earnings,2022,M03,March,802.44,False
CES6562310011,Avg Weekly Earnings,2022,M02,February,802.6,False
CES6562310011,Avg Weekly Earnings,2022,M01,January,781.53,False
CES6562310011,Avg Weekly Earnings,2021,M12,December,783.85,False
CES6562310011,Avg Weekly Earnings,2021,M11,November,776.22,False
CES6562310011,Avg Weekly Earnings,2021,M10,October,776.55,False
CES6562310011,Avg Weekly Earnings,2021,M09,September,766.57,False
CES6562310011,Avg Weekly Earnings,2021,M08,August,753.97,False
CES6562310011,Avg Weekly Earnings,2021,M07,July,751.17,False
CES6562310011,Avg Weekly Earnings,2021,M06,June,742.82,False
CES6562310011,Avg Weekly Earnings,2021,M05,May,735.93,False
CES6562310011,Avg Weekly Earnings,2021,M04,April,726.21,False
CES6562310011,Avg Weekly Earnings,2021,M03,March,719.11,False
CES6562310011,Avg Weekly Earnings,2021,M02,February,726.61,False
CES6562310011,Avg Weekly Earnings,2021,M01,January,730.97,False
CES6562310011,Avg Weekly Earnings,2020,M12,December,728.6,False
